epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,927.397,0.81483,0.54287,1.04404,0.79129,0.71918,0.74986,0.30598,2.18152,1.28422,2.0438,0.0004952,0.0004952,0.0004952
78,941.124,0.77196,0.51232,1.02711,0.82327,0.65753,0.73398,0.29464,2.17825,1.37534,2.09129,0.0004754,0.0004754,0.0004754
79,954.433,0.78748,0.53442,1.03079,0.80105,0.71703,0.75061,0.30515,2.26338,1.29576,2.21224,0.0004556,0.0004556,0.0004556
80,967.474,0.78311,0.52776,1.02672,0.81013,0.67808,0.73891,0.30529,2.0614,1.25943,1.99497,0.0004358,0.0004358,0.0004358
81,980.782,0.76827,0.52259,1.02441,0.79843,0.67825,0.72727,0.29795,2.12702,1.26998,2.07541,0.000416,0.000416,0.000416
82,995.231,0.75714,0.50528,1.02694,0.85714,0.67808,0.74234,0.30611,2.15736,1.21924,2.08858,0.0003962,0.0003962,0.0003962
83,1010.09,0.75095,0.49879,1.01989,0.78475,0.73288,0.73687,0.30678,2.06615,1.16327,1.99891,0.0003764,0.0003764,0.0003764
84,1024.53,0.73324,0.49424,1.00466,0.80963,0.71918,0.75213,0.30806,2.04157,1.26427,1.97953,0.0003566,0.0003566,0.0003566
85,1038.94,0.73716,0.50142,1.01577,0.83138,0.7092,0.75465,0.30666,2.11495,1.15145,2.0279,0.0003368,0.0003368,0.0003368
86,1054.48,0.71952,0.48881,0.99854,0.87887,0.67808,0.76833,0.30543,2.11734,1.1389,2.05227,0.000317,0.000317,0.000317
87,1068.32,0.71374,0.47871,0.99612,0.8344,0.68493,0.73533,0.30182,2.0533,1.25644,1.9807,0.0002972,0.0002972,0.0002972
88,1081.73,0.72078,0.49319,1.01065,0.82257,0.71918,0.77291,0.29978,2.09376,1.31718,1.98734,0.0002774,0.0002774,0.0002774
89,1093.5,0.70654,0.47493,0.98985,0.80855,0.69178,0.74848,0.30638,2.15529,1.29318,2.07175,0.0002576,0.0002576,0.0002576
90,1105.31,0.69076,0.4714,0.99405,0.80757,0.70548,0.73045,0.29609,2.19226,1.35636,2.08846,0.0002378,0.0002378,0.0002378
91,1145.99,0.58309,0.37056,0.91782,0.79623,0.69588,0.7302,0.30031,2.07842,1.2098,2.01148,0.000218,0.000218,0.000218
92,1157.24,0.57337,0.35599,0.9238,0.84924,0.65753,0.72892,0.29951,2.06182,1.23539,2.02064,0.0001982,0.0001982,0.0001982
93,1168.33,0.56549,0.35806,0.90819,0.87299,0.67123,0.74931,0.30954,2.08072,1.34829,2.03502,0.0001784,0.0001784,0.0001784
94,1179.7,0.54507,0.34318,0.89419,0.83258,0.7153,0.76117,0.3226,2.1094,1.28793,2.05249,0.0001586,0.0001586,0.0001586
95,1190.74,0.53317,0.33779,0.89747,0.80796,0.70548,0.7498,0.31589,2.09686,1.30765,2.05942,0.0001388,0.0001388,0.0001388
96,1202.01,0.52491,0.33458,0.89155,0.8334,0.70548,0.7407,0.3216,2.07511,1.32787,2.02207,0.000119,0.000119,0.000119
97,1213.97,0.51571,0.32681,0.88794,0.83031,0.70384,0.7528,0.326,2.04856,1.2765,2.01274,9.92e-05,9.92e-05,9.92e-05
98,1225.78,0.51055,0.32815,0.89007,0.84825,0.69178,0.74469,0.32071,2.05982,1.29766,2.01089,7.94e-05,7.94e-05,7.94e-05
99,1237.99,0.50859,0.32441,0.88946,0.89519,0.70205,0.7661,0.32646,2.07111,1.32271,2.03634,5.96e-05,5.96e-05,5.96e-05
100,1249.82,0.48209,0.31935,0.87607,0.89387,0.69225,0.77519,0.32682,2.05867,1.29406,2.0291,3.98e-05,3.98e-05,3.98e-05
